total 187 case




case name -->  dx_alphatestintersecttris 		result -->  GOOD_REF 		Variant name -->  nt_2xmsaa
case name -->  dx_alphatestintersecttris 		result -->  GOOD_REF 		Variant name -->  nt_depthmodetoggle
case name -->  ogl_stencilcmpmodes 		result -->  GOOD_REF 		Variant name -->  normal
case name -->  dx_randomtriangles 		result -->  GOOD_REF 		Variant name -->  1t_g_sp_8888_fpmn
case name -->  dx_randomtriangles 		result -->  GOOD_REF 		Variant name -->  1t_f
case name -->  ogl_randomtriangles_pointfilled 		result -->  GOOD 		Variant name -->  1t_f_sp_8888_fpmn
case name -->  ogl_randomtriangles_pointfilled 		result -->  GOOD 		Variant name -->  1t_g_sp_8888_fpmn
case name -->  ogl_randomlinestrip 		result -->  GOOD 		Variant name -->  1l_g_8888_fpmn
case name -->  ogl_randomlinestrip 		result -->  GOOD 		Variant name -->  1l_f_8888_fpmn
case name -->  ogl_filter_arbitrarysizes 		result -->  GOOD 		Variant name -->  1012x226_a8_unorm_fallmall
case name -->  ogl_dadjust 		result -->  GOOD 		Variant name -->  8888_fpmt
case name -->  dx9_sdk 		result -->  GOOD 		Variant name -->  text
case name -->  ogl_depthaccuracy 		result -->  GOOD 		Variant name -->  64q_32depth_0_to_0x3f7fffc0
case name -->  ogl_depthaccuracy 		result -->  GOOD 		Variant name -->  64q_32depth_0_to_0x000000c0
case name -->  ogl_filter 		result -->  GOOD 		Variant name -->  r16g16_snorm_fpmn
case name -->  ogl_filter 		result -->  GOOD 		Variant name -->  r8_snorm_fpmn
case name -->  ogl_filter 		result -->  GOOD 		Variant name -->  r8g8b8a8_snorm_fpmn
case name -->  ogl_filter 		result -->  GOOD 		Variant name -->  r9g9b9e5_sharedexp_fpmn
case name -->  ogl_filter 		result -->  GOOD 		Variant name -->  r16g16b16a16_snorm_fpmn
case name -->  ogl_randomtstrips 		result -->  GOOD 		Variant name -->  1t_f_8888_fpmn
case name -->  ogl_randomtstrips 		result -->  GOOD 		Variant name -->  1t_g_8888_fpmn
case name -->  ogl_filter3d 		result -->  GOOD 		Variant name -->  128x128x16_2101010_fallmall
case name -->  ogl_filter3d 		result -->  GOOD 		Variant name -->  128x128x16_565_fallmall
case name -->  ogl_filter3d 		result -->  GOOD 		Variant name -->  128x128x16_8888_fallmall
case name -->  ogl_filter3d 		result -->  GOOD 		Variant name -->  128x128x16_4444_fallmall
case name -->  dx_clippinginvariance 		result -->  GOOD_REF 		Variant name -->  1plane
case name -->  ogles1_3dmarkmobile 		result -->  GOOD 		Variant name -->  samurai-f50-51-320x240-Overlap
case name -->  ogl_stencilops 		result -->  GOOD 		Variant name -->  nt
case name -->  ogl_depthmodes 		result -->  GOOD 		Variant name -->  nt
case name -->  ogl_randomtstrips_pointfilled_4xmsaa 		result -->  GOOD 		Variant name -->  500t_f_sp_8888_fpmn
case name -->  ogl_randomfans_4xmsaa 		result -->  GOOD 		Variant name -->  3t_f
case name -->  ogl_randomfans_4xmsaa 		result -->  GOOD 		Variant name -->  256t_g
case name -->  dx11_depthbias 		result -->  GOOD 		Variant name -->  grid
case name -->  ocl_nohw_conformance 		result -->  GOOD_REF 		Variant name -->  basic_int2float
case name -->  ocl_nohw_conformance 		result -->  GOOD_REF 		Variant name -->  basic_fpmath_float_f2
case name -->  ocl_nohw_conformance 		result -->  GOOD_REF 		Variant name -->  basic_intmath_int_f2
case name -->  ocl_nohw_conformance 		result -->  GOOD_REF 		Variant name -->  basic_if
case name -->  ocl_nohw_conformance 		result -->  GOOD_REF 		Variant name -->  basic_pointer_cast
case name -->  ogl_randomlines 		result -->  GOOD 		Variant name -->  1l_g_sp_8888_fpmn
case name -->  ogl_stencillimits 		result -->  GOOD 		Variant name -->  normal
case name -->  ogl_clipping_2xmsaa 		result -->  GOOD 		Variant name -->  tristrip_flat_wf_noplanes
case name -->  ogl_clipping_2xmsaa 		result -->  GOOD 		Variant name -->  points_size16_noplanes
